generacion,fitness_max,fitness_mean
0,-28.41154609965458,-28.41154609965458
1,-28.41154609965458,-28.41154609965458
2,-28.41154609965458,-28.41154609965458
3,-28.41154609965458,-28.41154609965458
4,-28.41154609965458,-28.41154609965458
5,-28.41154609965458,-28.41154609965458
6,-28.41154609965458,-28.41154609965458
7,-28.41154609965458,-28.41154609965458
8,-28.41154609965458,-28.41154609965458
9,-28.41154609965458,-28.41154609965458
10,-28.41154609965458,-28.41154609965458
11,-28.41154609965458,-28.41154609965458
12,-28.41154609965458,-28.41154609965458
13,-28.41154609965458,-28.41154609965458
14,-28.41154609965458,-28.41154609965458
15,-28.41154609965458,-28.41154609965458
16,-28.41154609965458,-28.41154609965458
17,-28.41154609965458,-28.41154609965458
18,-28.41154609965458,-28.41154609965458
19,-28.41154609965458,-28.41154609965458
